"Country","Region","Population","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Year"
"Afghanistan","ASIA",31056997,154,3.203,0.35,0.517,0.361,0,0.158,0.025,2019
"Albania","EUROPE",3581655,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019
"Algeria","AFRICA",32930091,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019
"Argentina","LATIN",39921833,47,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2019
"Armenia","EUROPE",2976372,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2019
"Australia","OCEANIA",20264082,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019
"Austria","EUROPE",8192880,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019
"Azerbaijan","EUROPE",7961619,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019
"Bahrain","NEAR_EAST",698585,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11,2019
"Bangladesh","ASIA",147365352,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143,2019
"Belarus","EUROPE",10293011,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2019
"Belgium","EUROPE",10379067,18,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019
"Benin","AFRICA",7862944,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2019
"Bhutan","ASIA",2279723,95,5.082,0.813,1.321,0.604,0.457,0.37,0.167,2019
"Bolivia","LATIN",8989046,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2019
"Botswana","AFRICA",1639833,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1,2019
"Brazil","LATIN",188078227,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019
"Bulgaria","EUROPE",7385367,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2019
"Burkina Faso","AFRICA",13902972,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019
